par_id,community,text,label
5097,immigrant,"Despite the agreement , there is still no solid indication that either of the two biggest vote-getters from the election -- the 5-Stars and the center-right coalition of Forza Italia and the anti-immigrant League -- are any closer to forming a government .",0
2994,refugee,""" Europe has an absolute duty to protect refugees , "" she added , calling for a "" bold decision "" for refugees living in Turkey to be resettled in Europe "" as a matter of urgency "" .",0
4646,homeless,"Earlier this year , India 's top court said authorities should consider converting empty government properties in the cities into homeless shelters .",0
4664,disabled,"Rifleman Bopegedara had joining the SLA in 2008 to the Sinha Regiment . During the humanitarian operation he sustained injury in a terrorist attack . At present he is housed at the Mihindu Seth Medura , the healing home for disabled service personnel . As a result of his injury he is paralyzed from neck down . The country does not let down these war heroes who sacrificed much to save the nation from the clutches of LTTE terror .",0
8252,poor-families,"2 . In a bid to increase the insurance cover for the poor , the government , under the flagship National Health Protection Scheme announced that a sum of up to Rs 5,00,000 will be provided to 10 crore poor families in India per year , which is expected to reach around 50 crore beneficiaries , and will be used for secondary and tertiary care hospitalisation .",0
7480,disabled,"Miller , 27 , rejoined his D-backs teammates last Thursday before Arizona 's game against the Pirates and was activated from the 60-day disabled list on Monday . In a corresponding move , Arizona placed right-hander Clay Buchholz on the 10-day disabled with a left oblique strain .",0
8265,refugee,"I know many of them . Like the volunteer teachers who teach refugee children English twice a week , the volunteers who feed the homeless in the streets , and those who take care of the sick and elderly at home . And of course the homema ? kers .",0
7268,hopeless,What are we going to do with drone technology ? Avoid more to look at real national issues ? Terrorism is borne out of hopelessness in the government and so the sympathy for them . How are you going to shoot that down Sir ?,0
998,disabled,"Andanar said this year 's ASEAN priorities are ensuring health and protection of people especially women , disabled and migrant workers ; peace and stability ; maritime security and cooperation ; promotion of micro small and medium enterprises ; disaster resiliency ; and stronger and united ASEAN.",0
6252,disabled,"Currently 42% of disabled young people aged between 15-24 are not engaged in education , employment or training and the unemployment rate of disabled people is twice that of non-disabled . Turning these statistics around is critical .",0
948,refugee,"On Sunday , Suheil said his organization fears for the tens of thousands of Syrian nationals who have fled to refugee camps in Lebanon and Turkey . He said they are being persecuted and are wholly dependent on non-governmental organizations for their wellbeing .",0
5120,in-need,""" Cardigan Bay SAC is protected under European legislation as an area in need of high protection , due to its bio-diversity , "" said Mr Subbiani . "" There is an area that is "" boxed off "" , and it is illegal to dredge in that area . There is also an area where scallop dredging is allowed , as a concession to the scallop industry . """,0
1719,vulnerable,"According to the senior superintendent of police , police were informed that the hostel was not adequately secured and was among more vulnerable areas in the city . Security in Peshawar had been beefed up for Eid Miladun Nabi .",0
3422,vulnerable,""" That will have a tremendous impact , "" Hoskins said , noting that hospitals today are accepting more patients who are staying longer , particularly those who are vulnerable and aging .",0
4132,women,"More than half of the country 's population is under 25-years old and Crown Prince Mohammed bin Salman has called for opening for entertainment to appease the youth . However , strict gender segregation rules and restrictions on women 's movement still remain in place .",0
6186,refugee,"The army chief also stated that Pakistan still hosts approximately 2.7 million refugees from Afghanistan "" whose concentration is regularly used by the Tehreek-e-Taliban Pakistan ( TTP ) and Haqqani network to recruit , morph and melt "" .",0
5031,vulnerable,""" The safety and well-being of our vulnerable populations are very important to us . The Diocese of Orlando Safe Environment Policy reflects vital measures to safeguard the children of God . We pray for all victims and their families and for those involved in this situation , "" officials said in a news release .",1
7090,immigrant,"Wearing a "" Rise and Resist "" T-shirt , Okoumou spent nearly four hours on the statue , the fabled symbol of welcome to immigrants in New York harbor , forcing police into a dangerous retrieval mission and causing the evacuation of Liberty Island on Wednesday .",0
5770,disabled,""" Present government is dedicated in solving the problems of disabled soldiers . But , misusing the freedom prevailing under the present government is a matter of concern , "" the State Minister said .",1
3736,women,Women in Africa are mainly used as tools in peasant farming and tending for the households . Do you have any plans to unleash the potential of African women and youth ?,0
3857,disabled,Six other nominated senators will be nominated to represent the youth and the disabled .,1
780,immigrant,"He confirmed the alleged personal vendettas , saying there were instances of malice where neighbours issued false reports of illegal immigrants against legitimate citizens .",0
3163,homeless,"By the time of her death , Mother Teresa 's India-based Missionaries of Charity supported 4,000 nuns and ran hundreds of orphanages , homeless shelters and clinics around the world .",0
6916,immigrant,ELEANOR HALL : So are you suggesting that we should just have one overall definition of humanitarian immigrant and get rid of the notion of a refugee altogether ?,0
1272,hopeless,"I had travelled to Kent on a hopeless mission : maybe I might get to talk to Van for a few words about life or Yeats -- or , maybe , why his wife is suing Dun Laoghaire Rathdown County Council over the trees and shrubbery between their home and neighbours .",0
7410,disabled,""" The NDC has always led the way in championing the cause of the disabled . We believe that disability is not inability , "" President Mahama said .",0
6940,disabled,""" According to the Third and Fifth Schedules , places of worship and charitable institutions will be eligible for a tax concession only if the money is used to provide care to children , the elderly or the disabled . The incomes of some places of worship are supervised by the government and such institutions will be taxed to the maximum whereas other places of worship not supervised by the government will be able to escape the tax net . Such discriminatory practices will give rise to social tensions . """,0
8345,in-need,Foster agency Key Assets director Wayne Ferguson said the rising population meant foster carers were in need now more than ever . He estimated hundreds more carers were needed to fill demand .,0
2997,disabled,Daily discrimination facing the disabled in everyday life <h> I hope to be the Rosa Parks of the disabled community <h> Get daily news by email,1
3180,refugee,The social enterprise aims to empower and transform the lives of refugee children by improving the quality of the community learning centres and helping them become self-sufficient individuals .,0
1743,disabled,"Another participant Nurul Afsar , who runs a school in Rangamati for physically disabled children , said , ? We , the indigenous and Bangalee people , want to coexist peacefully . The administration should identify the troublemakers and ensure punishment to them. ?",0
4883,vulnerable,"The researchers said that Hotjar delivers the publisher 's content over HTTP , meaning data that would normally be protected by HTTPS -- a more secure protocol -- would be vulnerable to passive network surveillance .",0
5330,migrant,"The attacks included two Polish men being savagely beaten up in east London , a Polish community centre in west London being subjected to abusive graffiti and Polish immigrants in Huntingdon , near Cambridge , receiving cards that read : "" Leave the EU -- no more Polish vermin "" .",0
2719,hopeless,"Initially the development of the country , its scientific and industrial might , and crossed with the determination and courage of its rulers . Therefore , all similar to the "" storm and pressure "" from the Kremlin ended in may 2014 . And in 2015 "" wise "" successfully embroil Russia into an expensive and pointless war in Syria , where it is now can not extricate himself . The Kremlin has nothing to do with economic stagnation at home . Fundamentally hopeless situation no , technically anything is possible to allow . If not for one factor -- the "" elite "" of the Russian Federation .",0
3937,disabled,"Labour and Social Security Minister Derrick Kellier , in piloting the bill , said 10 per cent of Jamaicans are disabled and argued that the bill , when passed into law , would pave the way for all persons within the society to make a contribution to economic growth and national development .",0
1808,poor-families,"1 ) Rs 1000 pension for 1 crore poor families ,",0
2695,hopeless,"What we have instead observed has been an ever-escalating education arms race , in which the poorest children have ended up hopelessly ill-equipped to fight . The signs are all around us : the booming billion-pound industry of private tutors paid to boost pupils ? ? ? grades ; the sharp-elbowed tiger parents stopping at nothing to get their children into the best schools , and the stressed-out students trying to navigate a complex and often baffling university admissions system .",1
1752,vulnerable,""" Assets become more vulnerable "" in the run-up to ballots , said Masakatsu Fukaya , an emerging-markets currency trader at Mizuho Bank Ltd. in Tokyo . "" Foreign investors do n't like volatility and political instability , and they have a big influence on emerging markets . As each election approaches , we could see volatility go up in that country . """,0
3096,migrant,"After this , the labour movement in Singapore was incorporated under the state 's control . The National Trades Union Congress ( NTUC ) was founded in 1961 to oppose the left-wing SATU . Since 1980 , the main NTUC leader has always been a member of government . At present , the NTUC is no more than a puppet of the state and the steadily declining union memberships since the late 1970s illustrates its complete ineffectiveness and its bias against workers . Also , cheap migrant workers from Malaysia , Thailand , Indonesia , Sri Lanka , Philippines and other countries , make up more than 30 percent of the total workforce and face a variety of discrimination .",0
1273,hopeless,"The coming fury of angry America is as palpable as it is silent . What will that tiny part of a tiny part of the earth 's population do when the utter hopelessness of the situation washes over them and the tides of history curl around and bear them , inexorably , into the past ?",1
5089,migrant,"The European encounter with Islam did not begin and end in Spain . The Ottomans also ruled over much of Eastern Europe , including Greece , the cradle of Western civilisation . The 20th century saw the arrival of millions of Muslim migrants to provide cheap labour for war-ravaged Europe . Many of these Muslims coming to Europe had also been the direct or indirect victims of eastern imperialism towards their home countries , which were also struggling to overcome the damage wreaked by colonialism .",0
5260,vulnerable,"The problem is n't that there are too many vulnerable systems . There are too many vulnerable users . I know it sounds very basic , but users ca n't believe everything they read and do n't believe anything offered for free . Challenge every email , even those appearing to come from friends . They may be a hoax .",0
4011,disabled,"On the other hand , we have such vigilance in protecting what leaves here that government agents have strip-searched national honouree , sports icon and advocate for the disabled , Sarah Newland-Martin , who has been been subject to humiliating searches . True , she is not a sexy young woman and her name is n't Myrie , but what we did to her is worse because she was in her country that she had served for more than 40 years . At least the Barbadians did not know who she was . We do not look after our own .",0
4260,in-need,"PESHAWAR : The irrigation department in Khyber Pakhtunkhwa has often been in need of reforms to improve its working , but whenever someone at the top tries to undertake the reform process the opponents with vested interest join hands to foil such an initiative .",0
5845,vulnerable,""" The fact that they are homeless is really a by-product of the issues that they face in their communities . It should n't be because some people are misbehaving we should begin to turn our back on this particularly vulnerable subset of the community , "" Lewis added .",0
4207,homeless,"Choi was one of thousands -- the homeless , the drunk , the unlucky , but mostly children and the disabled -- who were forced into facilities for so-called vagrants in the 1970s and ' 80s . The roundup came as the ruling dictators prepared to bid for and host the 1988 Seoul Olympics , which they saw as international validation of South Korea 's arrival as a modern country . So they ordered police and local officials to "" purify "" the streets .",0
3819,vulnerable,Shame can make the toughest of persons hang their heads and curl inwardly in a bid to save face . It comes as the most ready reflex when we are caught pants down indulging in our many guilty pleasures ; admittedly there is nothing more vulnerable than a lady with a look of shame on her face .,0
3754,hopeless,"That 's not the idea at all . It is supposed to be an orgy of materialism , drones that do n't work , expensive computer games , motorised scooters , miniature mopeds that cost the same as a small family car . It is supposed to be a hectic schedules of family rows , messy , boozy nights that make you hopeless , and lunches that make you bloated and generally cross .",0
2131,hopeless,"But Manoj had a huge problem , something he concealed from Ishari , but this secret would not last long , as the pair moved into a rented room , which they began to share . Manoj was hopelessly hooked to heroin and very soon , he was to introduce it to Ishari .",0
6563,poor-families,"Villafuerte said the primary goal of Duterte 's 10-point socioeconomic agenda , which is to make the benefits of economic growth felt by majority of Filipinos , could only be attained if poor families in remote barrios have electricity in their homes .",0
6399,vulnerable,""" The people with disabilities are vulnerable during any natural and manmade disaster ... So , special planning is needed for protecting lives of physically and mentally challenged people during disaster period , "" she told the inaugural ceremony of Dhaka Conference on disability and disaster risk management .",0
7518,hopeless,"But if we do n't turn things around , things are going to get very uncomfortable . My job is to make great pictures and get people to see what 's going on . It 's not hopeless , we can turn things around , but we have to first realize there 's a problem .",0
4121,refugee,"Around 919,000 Rohingya refugees live in southern Bangladesh , most of them in the vast and teeming camps and settlements that have sprung up in Cox 's Bazar district , close to the border with Myanmar . A smaller number live in the neighbouring host communities of Teknaf and Ukhia .",0
4288,poor-families,Supply management costs poor families five times more relative to household income : study,0
5926,women,"This is enough to put off many of the ' patriots ' as the fascists call themselves . Many of them live outside Melbourne and can not be bothered making the trip only to find themselves corralled by the police and threatened by the Left . May of them have never attended demonstrations before and know next to nothing about rallying . The stress of having to face counter rallies each time they try to gather is too much for many of them , particularly the ' soft ' sections of their following : the women and the youth . The few scuffles they have had have received widespread media coverage and that is a deterrent for many parents to send their boys to a rowdy rally in Melbourne . It 's a war of attrition the Left seems to be winning .",0
1377,disabled,"In Rankin Inlet , people are always ready to help , and he says he gets better care there than physically disabled people receive in Iqaluit where there is no permanent occupational therapist .",0
1577,hopeless,"AA originated in 1935 , when a hopeless alcoholic faced financial trouble . The mutual-aid movement was founded by and designed for middle-aged men who had been battling the bottle for years , and had decades of job and family wreckage behind them .",0
3078,disabled,"The winning entrant has now been announced . It comes from a Turkish designer and is called the Karsan V1 . Before submitting entries , each designer had to abide by certain criteria including coming up with a taxi that was environmentally conscious , one that was able to accommodate the disabled and a cab that was small enough to scoot around busy city streets .",0
1458,poor-families,""" What started out in a small community of 40 people - starting a food-drive in Parkwood and providing food parcels to very poor families - has spiralled into something far greater , "" said Oakes .",0
645,homeless,"Hurricane Harvey was one of the biggest flood-producing storms in United States history . On the heels of Harvey , hurricanes Irma and Jose bore down on the Caribbean and U.S. This is apparently a sign of things to come , as climate-changed hurricanes will become wetter and rainier . And it 's not just North America ; recent extreme floods in India , Bangladesh and Nepal resulted in 1,200 deaths and left millions homeless . In July of this year , large hailstones hit Istanbul , causing excessive damage . The United Nations has called for cities to build resilience to climate change .",0
7165,migrant,"US President Donald Trump allegedly said that Haitian immigrants to the United States "" all have AIDS "" and new Nigerians in the country should "" go back to their huts , "" according to a US news report published Saturday .",0
7907,women,The deputy minister insisted that expectant women should always attend health facilities to check their status and take necessary measures to protect the unborn baby .,0
2531,homeless,"Boko Haram , which is seeking to impose strict Islamic sharia law in neighbouring Nigeria 's mainly-Muslim north , has killed at least 20,000 people in the region and left more than 2.6 million homeless in its six-year insurgency .",0
6417,hopeless,"Meanwhile , the rest of the fellowship sprints to the middle of an ice lake , where Jon once again demonstrates his talent for getting hopelessly surrounded by enemies .",0
2730,in-need,"For those in need of some costume inspiration , we 've been combing social social media to find a few Halloween costumes that will be all the rage this All Hallow 's Eve . <h> Film and TV characters",0
6474,hopeless,"Many words have been written and said about the Mercy Sisters and their contribution at Alpha . I recall the 1970s , when I worked with the Community Enterprise Organisation -- a public sector company dedicated to the establishment of co-operatives in communities -- there was an agricultural and fishing project at Pagee Beach at Port Maria in St Mary , which was being run by a reformed ' bad man ' , now deceased . True , Alpha could not reform everyone who went there , but sometimes there was a ray of light , even among those that seemed hopeless .",1
3929,disabled,"This ? 250,000 Lambo was snapped parked in a clearly-marked disabled bay in Bristol",0
6457,refugee,""" This administration is making massive historic cuts to the United States refugee program , with Sacramento continuing to be somewhat of an exception because of the SIVs ( Special Immigrant Visa holders ) from Afghanistan and Iraq who served with U.S. forces , "" Lewis said .",0
618,vulnerable,"A lot more people play live now which is a great thing . If you want to give the best performance to your audience who is paying top money to see you and vibe with you , you have to give your best . They 've heard your CD a thousand times and you have to put in 100% to give them a performance they can not forget . They have to see you at your raw and most vulnerable form .",0
6518,immigrant,"On August 18 , the National Human Rights Commission ( NHRC ) had issued notice to the Centre over its plan to deport the Rohingya immigrants , who are residing in various parts of India .",0
4822,vulnerable,"There is the legitimate concern that privatisation will mean consumers having to pay the economic price of this crucial commodity and the implications of this , especially for the poor . This is a matter that can be handled by way of subsidies to the most vulnerable , based on means testing .",0
1467,vulnerable,"King Lear has influenced him most ideologically . Shake the Superflux , the title of the London lecture , comes from a speech in which the English king , seeing his poor citizens helpless in a storm , vows to challenge "" superflux "" ( excess ) in society , and , casting off his clothes , becomes at one with the vulnerable . In what political commentators would call a U-turn , the monarch acknowledges that his reign has favoured the wealthy , saying : "" I have taken too little care of this .",0
7579,migrant,"PRETORIA South Africa ( Xinhua ) -- Policemen arrest activists during an anti-immigrant march in Pretoria , South Africa . Police arrested 136 people in Pretoria West over the past 24 hours , including during an anti-immigrant march in Pretoria , South African Police Service Acting National Commissioner Khomotso Phahlane said on Friday.XINHUA PHOTO - ZHAI JIANLAN",0
3223,immigrant,RPC Kenyela said police had information that the area was invaded by illegal immigrants and that the department of immigration was investigating the reports .,0
4084,refugee,"But we should not question the landmark nature of Trump 's speech , which also referenced the oppression of women and called on these Muslim nations to lead the way in repatriating Muslim refugees .",0
758,homeless,"BRYAN LIPMANN : And the ACFI has resulted in us losing a lot of money , so essentially the money has been transferred from homeless services to mainstream . Unintended , but that 's what 's happened and that 's the battle we 're facing at the moment , to try and recoup that money because without it we wo n't survive .",0
8036,poor-families,"BISHOPS having a meal with poor families on the eve of the International Eucharistic Congress ( IEC ) was meaningful symbol . Without it , the opening Mass on Sunday would have been nothing more than ritual reverence of the Eucharist . And reverence is not enough . Papal legate Charles Maung Cardinal Bo stressed in his homily the need for Christians to make the poor feel Christ 's love for them .",1
1678,migrant,"TraditionThe tradition is there . By the time Paddy Hoey left Clare 30 years ago , the Irish drift towards the huge car manufacturing plants in the Midlands had already begun to slow down . Irish emigrants were gravitating towards London .",0
7030,immigrant,"But of course , that does n't matter . The point is to put "" Meg Whitman "" and "" illegal immigrant "" in the same headline . As the AP points out :",0
84,vulnerable,"Nevertheless , the schism within the Ahmadiyya community and Mirza Muhammad Ahmad 's unabashed claims left the movement vulnerable against accusations of being heretical .",0
2580,migrant,"The suspected migrants are being turned over to Grand Cayman authorities , Rios said .",0
1660,migrant,""" We believe they ( kidnappers ) received inside help , most probably from illegal immigrants who have stayed here for a long time , "" said Hazani .",0
3540,refugee,""" Malaria strikes an astounding number of refugees , but it does n't need to "" said Chris Helfrich , the director of Nothing But Nets . "" A simple bed net can help protect mothers and children from a deadly mosquito bite-and this is the help that they desperately need . We 're so grateful to Curry and all our Nothing But Nets Champions for ensuring that we can cover this camp with life-saving bed nets . """,1
4362,women,"With the inaugural award ceremony being last year , the Zuri awards sought out to recognize and honor women that go unnoticed for the things they do for their communities .",0
2076,hopeless,"They might not have been totally hopeless . Brady has usually had a little bit more talent surrounding him than Peyton Manning has . ( Matt Cassel , who rates as somewhere between average and replacement-level , led New England to an 11-5 record when Brady was hurt in 2008 . ) Bill Belichick would probably have snuck them into the playoffs a few times . But they 'd also have been playing good opponents . Our method projects them to a 12-14 or 13-13 postseason record rather than Brady 's 18-8 .",0
8354,refugee,Hewad Hemat is one of Sen. Richard Blumenthal 's guests for President Donald Trump 's address to Congress on Tuesday . He is an Afghan refugee who worked as an interpreter with U.S. troops . ( Russell Blair / Hartford Courant ),0
2709,refugee,"As well as discussing US-led refugee programs , Mr Turnbull was quizzed on whether the US election and subsequent change in US leadership will have an impact on the countries position in the Asia pacific region .",0
4835,immigrant,"The move meant that the immigrants , often called "" Dreamers , "" could remain in legal limbo for many months unless Congress acts to make their status permanent .",0
7957,vulnerable,But IMF Managing Director Christine Lagarde said the expansion was vulnerable . Stock prices are unusually high but have been battered recently over growing concerns about US President Donald Trump 's aggressive America First trade policies . The turbulence comes as the Federal Reserve ratchets up U.S. interest rates from the record low levels where they had been in the decade after the financial crisis .,0
1791,refugee,"There are three simple principles to becoming one of now more than 100 schools of sanctuary , both primary and secondary and those with and without pupils from refugee families : "" Learn about what it means to seek sanctuary ; take positive action to embed concepts of warm welcome and safety within the school ; and share the visions and the achievements of pupils and teachers , "" said McCarthy .",0
4154,women,Maquiling said most of those missing were children and women .,0
2767,disabled,"Christian missionaries care for the destitute , and Jain sects serve and feed the disabled . Islamic traditions require setting aside a regular fraction of one 's earnings to feed the hungry and destitute . I find in Muslim ghettoes of Delhi like Nizamuddin and Jama Masjid , even today , a number of wayside eateries that offer plastic tokens for sale . These are bought by people who eat at the restaurants , and they distribute these to destitute people . Each token can be redeemed by them for a meal , when they are in need of food , over a period of a month .",1
3392,vulnerable,This sort of exposure can lead children to become sexually active at early age or even make them vulnerable to incestuous relationships .,0
8249,women,"Kavanna 's mum , Carolyn Ogg , has been dashing around the island in the last month , picking up donations of good quality , pre-loved men and women 's clothes , shoes and accessories to showcase at the Style and Beauty Exchange fundraiser at Artworks Theatre on May 6 .",0
2899,immigrant,"The suggestion by Frauke Petry , leader of the anti-immigrant Alternative for Germany ( AfD ) party , has fuelled an already heated debate about Chancellor Angela Merkel 's decision to open Germany 's doors to refugees .",0
691,immigrant,"In fact , the recently elected mayor of Kapiti Coast could n't be more of an antithesis of everything Trump : the 63-year-old K. Gurunathan is an ethnic minority in New Zealand and an immigrant -- he 's a proud anak Malaysia born in Penang . He 's also a former journalist .",0
1159,homeless,Ad of the Week : Pop-up Street Store for the homeless shows real heart,1
7767,immigrant,Somali and Bangladeshi immigrants in the western part of the city told the BBC that their shops had been looted during Friday 's protests .,0
204,poor-families,And the Guardian has written that most of those Tunisian IS volunteers come from middle class rather than working class or poor families .,0
4537,refugee,"By creating special observance days , the United Nations tries to promote international awareness and action on specific issues . Thus 6 February is International Day of Zero Tolerance to Female Genital Mutilation and 20 March is International Day of Happiness . 2 Mayhighlights an issue we do not think about often : World Tuna Day . 18 December has been designated as the International Migrants Day , but even without a special day , migrants and refugees have become world-wide issues leading to political debate , especially in Europe and the USA .",0
8193,homeless,"It is difficult to imagine the kind of world we would be living in if people would practice these moral values -- no school shootings , no mothers or fathers killing their own children , no broken homes or homeless children , no sexually transmitted diseases , nor rural or urban crimes . Everyone could leave their homes and vehicles unlocked . Many non-Christians practice these values and I would like to live in a world where everyone practiced them .",0
1265,migrant,"The inflow of migrants buoyed the FPO and similar anti-immigration parties across Europe , including the Alternative for Germany party , which secured seats in parliament last month .",0
452,refugee,"As the process of migration has become increasingly securitised since the beginning of the "" refugee crisis "" , journalists and analysts alike have faced new language-related dilemmas . The term "" migrant "" has become pejoratively loaded and the category , instead of encompassing all people are involved in the act of migration , became associated with a wrongful activity .",0
1525,immigrant,Americans are more likely to die from their clothes than die by an attack from a terrorist immigrant,0
3133,vulnerable,The poisonous chemical was detected after an eight-month investigation in 2015 into the deaths of several vulnerable and critically endangered species -- like the large-spotted civet and slender-billed vulture -- whose carcasses were found by forest rangers near waterholes in Preah Vihear and Stung Treng 's Siem Pang district .,0
1202,migrant,"Nawal Soufi , an Arabic-speaking Italian based in Sicily who is often contacted by migrants in distress , told AFP she had had a call earlier today about a boat in trouble with some 600 people on board .",0
2214,immigrant,"Labour said it was "" truly shocking "" that the department had binned records that could have protected immigrants -- but the Home Office said the claim was misleading .",0
347,women,Sheriff Thomas Dart also allegedly ignored the women who claimed they repeatedly witnessed detainees masturbate in front of them,0
7553,immigrant,"President Barack Obama sidestepped Congress on November 20 , 2014 to announce steps he will take to shield immigrants living and working illegally in the United States from deportation , thus defying Republican lawmakers by using executive orders .",1
1097,disabled,"While presiding over the programme , Debate of Democracy Chairman Hasan Ahmed Chowdhury Kiron said , a separate budget with at least 4 to 5 percent of the total budget should be prepared for the disabled people .",0
3458,migrant,An undocumented immigrant family from Guatemala talks to a volunteer after their arrival . PHOTO : REUTERS .,0
1759,hopeless,"They bore a proud heritage and a special courage , given to those who had long fought for the cause of freedom . I am referring , of course , to the Irish Brigade . General Robert E Lee , the great military leader of the Southern Confederate Forces , said of this group of men after the battle , "" The gallant stand which this bold brigade made on the heights of Fredericksburg is well known . Never were men so brave . They ennobled their race by their splendid gallantry on that desperate occasion . Their brilliant though hopeless assaults on our lines excited the hearty applause of our officers and soldiers . """,0
6797,migrant,"It 's details like that , or the left-field domestic asides between two secretly gay henchmen , that make In Order of Disappearance feel both overfamiliar and oddly welcome ( its freshness further aided by crisp , gleaming location photography ) . Adding to Dickman 's burden is his implied status as a lily-white immigrant , while a discussion between two killers linking northern climates with an efficiently run social democracy points to deeper themes , most of them lost on a distinctly un-Norwegian ( but efficiently entertained ) film critic .",0
469,immigrant,"For Mexicans , the question of colonization had two profoundly different meanings . For a country that had long perceived itself at risk of being swallowed up by its more populous northern neighbor , colonization signified the attracting of new immigrants . As the Mexico City newspaper El Siglo Diez y Nueve asserted in 1881 , colonization was one of Mexico 's "" great projects . "" New immigrants would "" not only increase the scant population that we possess , "" but also aid in "" the exploitation of our agricultural elements , whose richness will pour out . . . in the principal markets of the world . """,0
2325,women,"Mrs Abayage said the gradual increase in female representation in parliament , politics and other areas of the society was an indication that gender had nothing to do with capabilities and therefore advised young women to look into the future with hope and pride that "" they too could become important people . """,1
5664,refugee,"Balukhali camp : In the narrow paths and alleyways that thread past the homes of nearly one million Rohingya refugees , there 's nothing that spreads quite as quickly as rumours . With little or no access to television , radio , or other media , the refugees have to rely largely on word of mouth to keep informed not just about what is happening in the camp , but about issues critical to their health , nutrition and even survival .",0
639,hopeless,""" For such patients , their future is desolating . They feel hopeless and worthless about their life , as there is no point in living if it 's to suffer in pain and misery and that is why suicide is the best option for them , "" said Dr. Mohd Jamil .",1
1244,vulnerable,"With two minutes to go , and Kilkenny without a score in 13 minutes , TJ Reid had a chance to extend their diminishing lead to two points . He skewed the shot , his normal accuracy failing him , reflective of the rising tension . In the next play Jamie Barron sent over the equaliser and Kilkenny were vulnerable .",0
319,immigrant,"The new order still halts citizens of Iran , Libya , Syria , Somalia , Sudan and Yemen from entering the US for 90 days but has explicit waivers for various categories of immigrants with ties to the country .",0
5451,migrant,"In the report , Madius added that the threat posed by immigrants who fraudulently obtained MyKads was not only affecting the locals but also the economy of the country , as tourism and foreign investments would be affected .",0
2086,homeless,""" We 're actually going to purchase some swags with that money and those swags will be given out to people who are homeless , "" she said .",0
7626,in-need,"Another crucial area in need of reforms , hampered by institutional complexity , is the State-owned Enterprises(SOE) sector . Multiple stakeholder contestations take place on SOE reforms due to the decentralization of SOE oversight , which slows and complicates the reform process .",0
8197,vulnerable,""" They will look for reports , they 'll look for stories from other parents whose child seems to have had a miracle cure against all the odds ... and they 'll go for it , so they 're a very vulnerable group . """,0
2030,immigrant,"Panellists expect the red tape burden to increase in future . Early 2013 was marked by fierce debate about the Licensing of Businesses Bill . Government officials justified the bill in question on the basis that it would combat competition from illegal immigrants , and trade in counterfeit goods , although such practices are crimes under already existent laws .",0
1068,disabled,"The parents or the legal guardian of the minor , incompetent or disabled person shall be responsible for the application and safekeeping of the issued Filipino ID Card .",0
7967,in-need,"Ir Dr. Derrick Pang said , "" Over the years , Chun Wo has been seeking ways of giving back to the community through regular CSR activities . We are especially pleased to join hands with Ming Thein to present the "" CONNECTION "" charity photo exhibition , providing the general public a unique opportunity to enrich their understanding of the strategically important construction industry to the society while providing financial support to the people in need . """,0
